name_th,subtype_text,subtype,remark
มหาวิทยาลัยเวสเทิร์น,Private Universities,3,
มหาวิทยาลัยศรีปทุม,Private Universities,3,
มหาวิทยาลัยสยาม,Private Universities,3,
มหาวิทยาลัยหอการค้าไทย,Private Universities,3,
มหาวิทยาลัยหัวเฉียวเฉลิมพระเกียรติ,Private Universities,3,
มหาวิทยาลัยหาดใหญ่,Private Universities,3,
มหาวิทยาลัยอัสสัมชัญ,Private Universities,3,
มหาวิทยาลัยอีสเทิร์นเอเชีย,Private Universities,3,
มหาวิทยาลัยเอเชียอาคเนย์,Private Universities,3,
สถาบันเทคโนโลยีแห่งเอเซีย,Private Universities,3,
มหาวิทยาลัยซีเอ็มเคแอล,Private Universities,3,
มหาวิทยาลัยอมตะ,Private Universities,3,
มหาวิทยาลัยเกษตรศาสตร์,Public Universities,4,Top
มหาวิทยาลัยขอนแก่น,Public Universities,4,Top
จุฬาลงกรณ์มหาวิทยาลัย,Public Universities,4,Top
มหาวิทยาลัยเชียงใหม่,Public Universities,4,Top
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าธนบุรี,Public Universities,4,Top
มหาวิทยาลัยเทคโนโลยีพระจอมเกล้าพระนครเหนือ,Public Universities,4,Top
มหาวิทยาลัยเทคโนโลยีสุรนารี,Public Universities,4,Top
มหาวิทยาลัยธรรมศาสตร์,Public Universities,4,Top
มหาวิทยาลัยบูรพา,Public Universities,4,Top
มหาวิทยาลัยมหิดล,Public Universities,4,Top
มหาวิทยาลัยศรีนครินทรวิโรฒ,Public Universities,4,Top
มหาวิทยาลัยศิลปากร,Public Universities,4,Top
มหาวิทยาลัยสงขลานครินทร์,Public Universities,4,Top
มหาวิทยาลัยทักษิณ,Public Universities,4,
มหาวิทยาลัยนวมินทราธิราช,Public Universities,4,
มหาวิทยาลัยพะเยา,Public Universities,4,
มหาวิทยาลัยมหาจุฬาลงกรณราชวิทยาลัย,Public Universities,4,
มหาวิทยาลัยมหามกุฏราชวิทยาลัย,Public Universities,4,
มหาวิทยาลัยแม่โจ้,Public Universities,4,
มหาวิทยาลัยแม่ฟ้าหลวง,Public Universities,4,
มหาวิทยาลัยวลัยลักษณ์,Public Universities,4,
มหาวิทยาลัยสวนดุสิต,Public Universities,4,
สถาบันเทคโนโลยีพระจอมเกล้าเจ้าคุณทหารลาดกระบัง,Public Universities,4,Top
สถาบันการพยาบาลศรีสวรินทิรา สภากาชาดไทย,Public Universities,4,
สถาบันดนตรีกัลยาณิวัฒนา,Public Universities,4,
สถาบันเทคโนโลยีจิตรลดา,Public Universities,4,
สถาบันบัณฑิตศึกษาจุฬาภรณ์ (สังกัดราชวิทยาลัยจุฬาภรณ์),Public Universities,4,
มหาวิทยาลัยนเรศวร,Public Universities,4,Top
มหาวิทยาลัยกาฬสินธุ์,Public Universities,4,
มหาวิทยาลัยนครพนม,Public Universities,4,
มหาวิทยาลัยนราธิวาสราชนครินทร์,Public Universities,4,
มหาวิทยาลัยมหาสารคาม,Public Universities,4,
มหาวิทยาลัยรามคำแหง,Public Universities,4,
มหาวิทยาลัยสุโขทัยธรรมาธิราช,Public Universities,4,
มหาวิทยาลัยอุบลราชธานี,Public Universities,4,
สถาบันบัณฑิตพัฒนบริหารศาสตร์,Public Universities,4,
สถาบันเทคโนโลยีปทุมวัน,Public Universities,4,
มหาวิทยาลัยราชภัฏกาญจนบุรี,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏกำแพงเพชร,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏจันทรเกษม,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏชัยภูมิ,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏเชียงราย,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏเชียงใหม่,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏเทพสตรี,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏธนบุรี,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏนครปฐม,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏนครราชสีมา,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏนครศรีธรรมราช,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏนครสวรรค์,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏบ้านสมเด็จเจ้าพระยา,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏบุรีรัมย์,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏพระนคร,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏพระนครศรีอยุธยา,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏพิบูลสงคราม,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏเพชรบุรี,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏเพชรบูรณ์,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏภูเก็ต,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏมหาสารคาม,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏยะลา,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏร้อยเอ็ด,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏราชนครินทร์,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏรำไพพรรณี,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏลำปาง,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏเลย,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏวไลยอลงกรณ์ ในพระบรมราชูปถัมภ์,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏศรีสะเกษ,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏสกลนคร,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏสงขลา,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏสวนสุนันทา,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏสุราษฎร์ธานี,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏสุรินทร์,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏหมู่บ้านจอมบึง,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏอุดรธานี,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏอุตรดิตถ์,Rajabhat Universities,5,Top
มหาวิทยาลัยราชภัฏอุบลราชธานี,Rajabhat Universities,5,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลกรุงเทพ,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลตะวันออก,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลธัญบุรี,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลพระนคร,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลรัตนโกสินทร์,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลล้านนา,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลศรีวิชัย,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลสุวรรณภูมิ,Rajamangala Universities of Technology,6,Top
มหาวิทยาลัยเทคโนโลยีราชมงคลอีสาน,Rajamangala Universities of Technology,6,Top
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
,,,
