Name,Data Type,Nullable,PK,FK,Reference,Default,Comment
permission_id,"INT(10)",Yes,Yes,Yes,permissions,,
model_type,"VARCHAR(255)",Yes,Yes,No,,,
model_id,"BIGINT(20)",Yes,Yes,No,,,
