Name,Data Type,Nullable,PK,FK,Reference,Default,Comment
id,"INT(10)",Yes,Yes,No,,,Primary key of years table
name,"VARCHAR(255)",Yes,No,No,,,Student year's name
short_name,"VARCHAR(10)",Yes,No,No,,,Student year's short name
