Name,Data Type,Nullable,PK,FK,Reference,Default,Comment
id,INT(10),Yes,Yes,No,,,Primary key of roles table
name,VARCHAR(255),Yes,No,No,,,Name of the role
guard_name,VARCHAR(255),Yes,No,No,,,
created_at,TIMESTAMP,No,No,No,,NULL,
updated_at,TIMESTAMP,No,No,No,,NULL,
